日期,款式名,平台来源,笔记数,互动量,情感倾向
2026-03-10,猫眼,社交平台A,511,7012,正面
2026-03-10,猫眼,社交平台B,287,4029,中性
2026-03-10,猫眼,社交平台C,212,3081,正面
2026-03-10,纯欲风,社交平台A,186,2383,正面
2026-03-10,纯欲风,社交平台B,153,1738,正面
2026-03-10,纯欲风,社交平台C,88,991,正面
2026-03-10,法式,社交平台A,1194,15553,负面
2026-03-10,法式,社交平台B,755,9608,正面
2026-03-10,法式,社交平台C,509,6410,负面
2026-03-10,穿戴甲,社交平台A,2696,34188,正面
2026-03-10,穿戴甲,社交平台B,1382,21024,正面
2026-03-10,穿戴甲,社交平台C,1224,16246,正面
2026-03-10,手绘油画风,社交平台A,3170,45297,中性
2026-03-10,手绘油画风,社交平台B,1440,20776,正面
2026-03-10,手绘油画风,社交平台C,930,14026,正面
2026-03-10,冰透果冻甲,社交平台A,920,9673,正面
2026-03-10,冰透果冻甲,社交平台B,683,7694,正面
2026-03-10,冰透果冻甲,社交平台C,584,6410,中性
2026-03-10,流沙猫眼,社交平台A,1068,8017,正面
2026-03-10,流沙猫眼,社交平台B,634,5431,正面
2026-03-10,流沙猫眼,社交平台C,377,3154,正面
2026-03-10,古风晕染,社交平台A,1786,16284,正面
2026-03-10,古风晕染,社交平台B,1116,10230,正面
2026-03-10,古风晕染,社交平台C,670,6292,正面
2026-03-10,磨砂质感,社交平台A,875,10683,正面
2026-03-10,磨砂质感,社交平台B,707,8863,正面
2026-03-10,磨砂质感,社交平台C,435,5437,正面
2026-03-10,彩绘新潮,社交平台A,2986,46403,正面
2026-03-10,彩绘新潮,社交平台B,1422,21223,正面
2026-03-10,彩绘新潮,社交平台C,935,13578,正面
2026-03-11,猫眼,社交平台A,490,7375,正面
2026-03-11,猫眼,社交平台B,236,3346,正面
2026-03-11,猫眼,社交平台C,174,2258,正面
2026-03-11,纯欲风,社交平台A,187,2193,正面
2026-03-11,纯欲风,社交平台B,133,1789,正面
2026-03-11,纯欲风,社交平台C,108,1265,中性
2026-03-11,法式,社交平台A,1288,16271,正面
2026-03-11,法式,社交平台B,562,6939,正面
2026-03-11,法式,社交平台C,395,4791,正面
2026-03-11,穿戴甲,社交平台A,3046,43381,正面
2026-03-11,穿戴甲,社交平台B,1823,23736,正面
2026-03-11,穿戴甲,社交平台C,1012,13256,正面
2026-03-11,手绘油画风,社交平台A,3443,55289,中性
2026-03-11,手绘油画风,社交平台B,1645,26540,正面
